10001|3211|113800|L|0|0|
10002|3211|313002|A|0|0|
10003|3211|70000|A|0|0|
10004|3211|260996|A|0|0|
10005|3211|61000|A|0|0|
10006|3211|10000|A|0|0|
10007|3211|9000|A|0|0|
10008|3211|110000|A|0|0|
10009|3211|100000|A|0|0|
10010|3210|10000|A|0|0|
10011|3211|100000|A|0|0|
10012|3211|0|A|0|0|
10013|3211|1000|A|0|0|
10014|3210|10000|A|0|0|
10015|3211|1000000|A|0|0|
10016|3211|0|A|0|0|
10017|3211|10000|A|0|0|
10018|3211|4575677886898|A|0|0|
10019|2111|5076944270305263616|A|0|0|
10020|-111|100000|A|0|0|
10021|3211|1000|A|0|0|
10022|3211|1000|A|0|0|
10023|123|10000|D|0|0|
